id,vectors,meta.name,meta.type,meta.role,year
j__william_h_rehnquist,[],William H. Rehnquist,J,justice,2001
john_crabtree,[],John Crabtree,A,,2001
j__antonin_scalia,[],Antonin Scalia,J,justice,2001
j__anthony_m_kennedy,[],Anthony M. Kennedy,J,justice,2001
j__john_paul_stevens,[],John Paul Stevens,J,justice,2001
j__ruth_bader_ginsburg,[],Ruth Bader Ginsburg,J,justice,2001
j__stephen_g_breyer,[],Stephen G. Breyer,J,justice,2001
j__sandra_day_oconnor,[],Sandra Day O'Connor,J,justice,2001
j__david_h_souter,[],David H. Souter,J,justice,2001
glen_d_nager,[],Glen D. Nager,A,,2001
william_p_pendley,[],William P. Pendley,A,,2001
<INAUDIBLE>,[],<INAUDIBLE>,U,inaudible,2001
william_h_pryor_jr,[],"William H. Pryor, Jr.",A,,2001
charles_fried,[],Charles Fried,A,,2001
william_h_mills,[],William H. Mills,A,,2001
steven_b_duke,[],Steven B. Duke,A,,2001
ann_e_beeson,[],Ann E. Beeson,A,,2001
paul_d_clement,[],Paul D. Clement,A,,2001
h_louis_sirkin,[],H. Louis Sirkin,A,,2001
james_w_ellis,[],James W. Ellis,A,,2001
pamela_a_rumpz,[],Pamela A. Rumpz,A,,2001
the_marshal,[],The Marshal,A,,2001
lawrence_s_robbins,[],Lawrence S. Robbins,A,,2001
gregory_g_garre,[],Gregory G. Garre,A,,2001
scott_l_nelson,[],Scott L. Nelson,A,,2001
paul_r_q_wolfson,[],Paul R. Q. Wolfson,A,,2001
peter_buscemi,[],Peter Buscemi,A,,2001
john_r_woodrum,[],John R. Woodrum,A,,2001
jeffrey_a_lamken,[],Jeffrey A. Lamken,A,,2001
kathryn_l_pryor,[],Kathryn L. Pryor,A,,2001
maurice_baskin,[],Maurice Baskin,A,,2001
lawrence_g_wallace,[],Lawrence G. Wallace,A,,2001
michael_e_moore,[],Michael E. Moore,A,,2001
lisa_s_blatt,[],Lisa S. Blatt,A,,2001
robert_l_hutton,[],Robert L. Hutton,A,,2001
linda_m_meoli,[],Linda M. Meoli,A,,2001
graham_a_boyd,[],Graham A. Boyd,A,,2001
stanley_a_cross,[],Stanley A. Cross,A,,2001
